loan_sequence_no,monthly_reporting_period,curr_actual_upb,curr_loan_delinquency_status,loan_age,remaining_months_to_legal_maturity,curr_interest_rate,curr_deferred_upb
F116Q1004217,201603,353000.0,1,1,179,4.0,0
F116Q1004225,201611,69080.09,0,9,351,4.0,0
F116Q1004242,201612,173842.03,0,10,350,3.875,0
F116Q1004314,201606,139000.0,0,4,356,4.0,0
F116Q1004358,201606,148000.0,0,4,356,4.25,0
F116Q1004360,201612,241337.77,0,10,350,3.875,0
F116Q1004376,201605,80000.0,1,3,357,4.25,0
F116Q1004376,201606,80000.0,1,4,356,4.25,0
F116Q1004376,201607,80000.0,1,5,355,4.25,0
F116Q1004376,201608,80000.0,1,6,354,4.25,0
F116Q1004376,201609,79889.7,1,7,353,4.25,0
F116Q1004376,201610,79889.7,1,8,352,4.25,0
F116Q1004376,201611,79889.7,1,9,351,4.25,0
F116Q1004376,201612,79889.7,1,10,350,4.25,0
F116Q1004393,201604,72000.0,0,1,239,4.25,0
F116Q1004406,201609,318000.0,0,6,354,4.625,0
F116Q1004438,201605,399000.0,1,3,357,4.875,0
F116Q1004438,201606,399000.0,1,4,356,4.875,0
F116Q1004438,201607,399000.0,1,5,355,4.875,0
F116Q1004438,201608,398000.0,1,6,354,4.875,0
F116Q1004438,201609,397520.79,1,7,353,4.875,0
F116Q1004438,201610,397018.89,1,8,352,4.875,0
F116Q1004438,201611,396514.95,1,9,351,4.875,0
F116Q1004438,201612,396008.96,1,10,350,4.875,0
F116Q1004489,201609,80397.56,0,7,353,4.0,0
F116Q1004510,201603,344000.0,0,1,359,4.125,0
F116Q1004532,201610,131000.0,0,6,354,4.25,0
F116Q1004538,201610,94220.66,0,7,352,4.75,0
F116Q1004551,201607,178000.0,0,3,357,4.375,0
F116Q1004608,201605,71000.0,0,2,178,3.25,0
F116Q1004630,201604,75000.0,1,2,358,3.875,0
F116Q1004665,201611,64883.29,1,9,351,4.5,0
F116Q1004665,201612,64883.29,1,10,350,4.5,0
F116Q1004668,201610,149702.05,0,8,351,4.5,0
F116Q1004675,201609,363971.68,1,7,352,4.625,0
F116Q1004735,201605,198000.0,0,3,357,4.125,0
F116Q1004767,201606,89000.0,1,4,356,4.125,0
F116Q1004800,201602,515000.0,0,0,360,4.125,0
F116Q1004833,201608,146000.0,0,6,234,3.625,0
F116Q1004888,201608,178000.0,0,6,354,4.125,0
F116Q1004894,201611,164050.5,0,9,351,4.25,0
F116Q1004895,201604,403000.0,0,2,358,4.5,0
F116Q1004917,201612,316856.36,0,10,350,4.125,0
F116Q1004931,201605,133000.0,1,3,357,4.5,0
F116Q1004984,201607,189000.0,0,5,355,4.375,0
F116Q1005012,201612,183618.04,1,10,290,4.625,0
F116Q1005069,201606,504000.0,0,4,356,4.0,0
F116Q1005082,201611,207210.43,1,9,351,4.75,0
F116Q1005082,201612,206935.18,1,10,350,4.75,0
F116Q1005084,201607,258000.0,1,5,355,4.5,0
F116Q1005110,201604,64000.0,1,2,178,3.875,0
F116Q1005112,201611,333816.28,1,9,351,4.375,0
F116Q1005159,201608,276000.0,1,6,354,3.875,0
F116Q1005159,201609,275237.31,1,7,353,3.875,0
F116Q1005159,201610,275237.31,1,8,352,3.875,0
F116Q1005159,201612,274401.72,1,10,350,3.875,0
F116Q1005172,201605,221000.0,0,3,357,3.99,0
F116Q1005255,201604,71000.0,0,2,358,4.125,0
F116Q1005267,201611,204631.51,1,9,171,3.25,0
F116Q1005311,201604,90000.0,0,1,359,4.125,0
F116Q1005327,201607,317000.0,1,5,355,4.25,0
F116Q1005327,201610,316537.91,1,8,352,4.25,0
F116Q1005359,201612,278178.7,0,10,350,3.875,0
F116Q1005364,201603,178000.0,0,1,359,4.75,0
F116Q1005370,201604,193000.0,1,2,358,4.25,0
F116Q1005386,201606,121000.0,0,4,356,4.125,0
F116Q1005396,201603,338000.0,0,1,359,4.125,0
F116Q1005430,201612,0.0,1,10,349,4.75,0
F116Q1005433,201605,208000.0,1,3,357,4.875,0
F116Q1005433,201609,206660.97,0,7,353,4.875,0
F116Q1005460,201605,403000.0,0,3,357,4.25,0
F116Q1005480,201607,214000.0,0,5,355,4.125,0
F116Q1005496,201607,414000.0,0,5,355,4.375,0
F116Q1005505,201607,196000.0,0,3,177,3.375,0
F116Q1005545,201605,197000.0,0,3,177,3.375,0
F116Q1005580,201605,613000.0,0,3,357,3.875,0
F116Q1005612,201611,79924.01,0,9,111,3.009,0
F116Q1005631,201604,412000.0,0,2,358,3.75,0
F116Q1005664,201606,0.0,0,4,356,4.0,0
F116Q1005668,201609,51000.0,1,6,174,3.875,0
F116Q1005733,201612,357447.26,1,10,350,4.25,0
F116Q1005737,201611,75876.06,0,9,351,4.5,0
F116Q1005763,201608,154000.0,1,6,354,3.99,0
F116Q1005798,201609,384000.0,0,6,174,3.25,0
F116Q1005806,201609,0.0,1,7,353,4.5,0
F116Q1005818,201604,218000.0,0,2,178,3.0,0
F116Q1005876,201605,60000.0,0,2,358,4.0,0
F116Q1005901,201607,149000.0,1,4,176,2.875,0
F116Q1005903,201602,382000.0,0,0,360,4.125,0
F116Q1005916,201603,365000.0,0,1,359,3.875,0
F116Q1005939,201609,149621.8,0,7,352,4.625,0
F116Q1005944,201604,76000.0,1,2,358,4.5,0
F116Q1005980,201609,163461.84,0,7,353,4.5,0
F116Q1005991,201610,139148.17,1,8,352,4.75,0
F116Q1005991,201611,139148.17,1,9,351,4.75,0
F116Q1006008,201607,269000.0,0,5,355,4.25,0
F116Q1006025,201608,262000.0,0,6,354,4.125,0
F116Q1006075,201607,402000.0,1,5,355,4.5,0
F116Q1006075,201610,401224.42,1,8,352,4.5,0
F116Q1006079,201608,278000.0,1,6,353,4.125,0
F116Q1006082,201612,391540.63,1,10,350,4.125,0
F116Q1006100,201612,327009.98,1,10,350,4.375,0
F116Q1006126,201602,148000.0,0,0,359,3.875,0
F116Q1006134,201606,154000.0,0,4,356,4.99,0
F116Q1006204,201603,148000.0,0,0,180,3.0,0
F116Q1006218,201605,49000.0,0,3,177,3.375,0
F116Q1006223,201610,164185.16,1,8,172,3.5,0
F116Q1006234,201603,340000.0,0,1,359,4.125,0
F116Q1006265,201612,104733.13,0,10,170,3.5,0
F116Q1006287,201604,161000.0,0,2,358,4.375,0
F116Q1006291,201611,128450.42,0,8,352,3.875,0
F116Q1006439,201608,147000.0,1,4,175,3.25,0
F116Q1006439,201609,145000.0,1,5,174,3.25,0
F116Q1006439,201611,143320.93,1,7,172,3.25,0
F116Q1006444,201608,125000.0,0,6,353,4.5,0
F116Q1006476,201612,305217.89,0,10,349,4.25,0
F116Q1006479,201611,0.0,0,9,351,4.375,0
F116Q1006545,201603,118000.0,0,1,359,4.75,0
F116Q1006573,201609,116230.72,0,7,353,4.625,0
F116Q1006622,201608,265000.0,1,6,354,4.125,0
F116Q1006622,201609,264493.08,1,7,353,4.125,0
F116Q1006622,201610,262965.32,1,8,352,4.125,0
F116Q1006668,201610,411559.57,1,8,352,4.5,0
F116Q1006686,201609,390288.93,0,7,173,3.375,0
F116Q1006693,201609,127937.98,0,7,173,3.125,0
F116Q1006708,201611,0.0,0,9,171,3.5,0
F116Q1006729,201604,253000.0,1,2,178,3.625,0
F116Q1006765,201609,293519.77,0,7,353,3.99,0
F116Q1006776,201602,322000.0,0,0,360,3.99,0
F116Q1006797,201606,266000.0,0,4,356,4.0,0
F116Q1006826,201606,318000.0,0,4,356,4.125,0
F116Q1006850,201604,222000.0,1,2,358,4.25,0
F116Q1006903,201604,160000.0,1,2,358,4.125,0
F116Q1006911,201605,496000.0,1,3,357,4.125,0
F116Q1006923,201604,410000.0,1,2,358,4.125,0
F116Q1007022,201604,70000.0,0,1,359,4.625,0
F116Q1007041,201611,270462.75,1,9,351,4.25,0
F116Q1007066,201606,404000.0,0,4,356,4.125,0
F116Q1007072,201608,219000.0,1,6,354,4.625,0
F116Q1007072,201612,217641.63,1,10,350,4.625,0
F116Q1007135,201605,167000.0,0,3,357,4.125,0
F116Q1007156,201602,318000.0,0,0,179,3.375,0
F116Q1007177,201602,156000.0,0,0,132,3.625,0
F116Q1007190,201607,193000.0,0,5,175,3.875,0
F116Q1007216,201602,250000.0,0,0,180,3.25,0
F116Q1007300,201603,183000.0,0,1,359,4.875,0
F116Q1007318,201605,213000.0,1,3,357,4.125,0
F116Q1007323,201604,410000.0,1,2,358,3.875,0
F116Q1007328,201602,90000.0,0,0,360,3.75,0
F116Q1007367,201608,412000.0,1,6,354,4.5,0
F116Q1007379,201612,229213.21,1,10,350,4.25,0
F116Q1007422,201610,144144.79,0,8,352,4.5,0
F116Q1007424,201607,96000.0,0,5,355,5.125,0
F116Q1007439,201605,376000.0,0,3,358,4.5,0
F116Q1007445,201605,236000.0,0,3,357,4.5,0
F116Q1007510,201604,184000.0,1,2,358,4.0,0
F116Q1007511,201605,216000.0,1,3,357,4.125,0
F116Q1007514,201605,72000.0,1,2,358,3.875,0
F116Q1007534,201609,301349.95,1,7,353,4.0,0
F116Q1007558,201604,140000.0,0,2,358,4.125,0
F116Q1007605,201611,195322.89,0,9,351,4.25,0
F116Q1007607,201611,123528.6,1,8,352,4.0,0
F116Q1007651,201604,249000.0,1,2,358,4.0,0
F116Q1007692,201611,88941.09,0,9,351,4.625,0
F116Q1007714,201603,171000.0,0,1,359,4.875,0
F116Q1007724,201605,136000.0,0,3,237,3.875,0
F116Q1007766,201607,408000.0,0,5,175,3.375,0
F116Q1007783,201608,414000.0,0,6,354,4.625,0
F116Q1007871,201609,249350.1,1,7,353,4.375,0
F116Q1007873,201606,247000.0,0,4,176,2.875,0
F116Q1007875,201608,177000.0,1,6,174,3.875,0
F116Q1007875,201609,176233.52,1,7,173,3.875,0
F116Q1007885,201612,81361.94,0,10,350,4.0,0
F116Q1007893,201604,66000.0,0,2,178,3.625,0
F116Q1007911,201608,415000.0,1,6,354,4.25,0
F116Q1007911,201609,414689.71,1,7,353,4.25,0
F116Q1007911,201610,414689.71,1,8,352,4.25,0
F116Q1007911,201611,414689.71,1,9,351,4.25,0
F116Q1007911,201612,414689.71,1,10,350,4.25,0
F116Q1007914,201610,106922.46,0,8,352,4.875,0
F116Q1007921,201609,253769.57,0,7,353,4.875,0
F116Q1007985,201611,322131.41,0,9,351,4.0,0
F116Q1007996,201606,75000.0,1,4,356,4.375,0
F116Q1007996,201607,74000.0,0,5,355,4.375,0
F116Q1008092,201608,185000.0,0,6,354,4.125,0
F116Q1008167,201611,232472.15,0,9,351,4.25,0
F116Q1008171,201609,108866.86,0,7,173,4.5,0
F116Q1008187,201608,271000.0,0,6,174,3.375,0
F116Q1008193,201606,61000.0,1,3,177,3.625,0
F116Q1008193,201607,61000.0,1,4,176,3.625,0
F116Q1008193,201611,59054.55,1,8,172,3.625,0
F116Q1008197,201603,248000.0,0,1,359,4.125,0
F116Q1008201,201606,298000.0,0,4,355,4.25,0
F116Q1008245,201603,161000.0,0,1,359,4.5,0
F116Q1008264,201607,130000.0,1,5,355,4.5,0
F116Q1008264,201609,130130.95,1,7,353,4.5,0
F116Q1008264,201611,129423.91,1,9,351,4.5,0
F116Q1008305,201604,248000.0,0,2,358,4.5,0
F116Q1008320,201604,379000.0,0,1,360,3.75,0
F116Q1008376,201611,145806.23,1,9,351,4.99,0
F116Q1008379,201603,143000.0,0,1,359,3.875,0
F116Q1008393,201608,182000.0,1,6,354,4.125,0
F116Q1008403,201608,122000.0,0,6,354,4.5,0
F116Q1008404,201612,339494.32,1,10,350,4.625,0
F116Q1008414,201609,178284.11,1,7,353,4.375,0
F116Q1008414,201612,177535.24,1,10,350,4.375,0
F116Q1008439,201607,45000.0,0,5,235,3.875,0
F116Q1008449,201608,114000.0,0,6,234,4.5,0
F116Q1008451,201611,83429.94,0,7,233,3.75,0
F116Q1008452,201608,371000.0,1,5,355,4.25,0
F116Q1008468,201609,141222.57,0,7,353,4.5,0
F116Q1008478,201607,44000.0,0,5,175,2.875,0
F116Q1008498,201610,97148.82,0,8,172,3.5,0
F116Q1008520,201610,160358.29,0,7,353,3.875,0
F116Q1008556,201604,77000.0,1,2,178,3.75,0
F116Q1008563,201608,108000.0,0,6,174,3.125,0
F116Q1008564,201603,48000.0,0,1,359,5.0,0
F116Q1008614,201607,262000.0,0,5,355,4.25,0
F116Q1008626,201610,163623.86,1,8,352,4.25,0
F116Q1008626,201611,163623.86,1,9,351,4.25,0
F116Q1008626,201612,162690.08,1,10,350,4.25,0
F116Q1008633,201610,324834.06,0,8,352,4.25,0
F116Q1008671,201604,91000.0,0,1,239,3.625,0
F116Q1008709,201603,245000.0,0,1,359,4.875,0
F116Q1008741,201604,109000.0,0,1,359,4.0,0
F116Q1008778,201605,398000.0,0,3,357,4.75,0
F116Q1008793,201612,94108.91,0,10,350,4.375,0
F116Q1008812,201606,169000.0,1,3,357,4.0,0
F116Q1008829,201606,152000.0,0,3,357,3.875,0
F116Q1008878,201604,188000.0,0,2,178,3.5,0
F116Q1008886,201605,380000.0,1,3,177,3.875,0
F116Q1008886,201608,372000.0,1,6,174,3.875,0
F116Q1008886,201611,368924.96,1,9,171,3.875,0
F116Q1008886,201612,367317.47,1,10,170,3.875,0
F116Q1008887,201605,224000.0,1,3,357,4.625,0
F116Q1008890,201610,230331.41,0,8,352,4.25,0
F116Q1008925,201607,186000.0,0,5,235,3.75,0
F116Q1008947,201608,108000.0,1,6,354,4.5,0
F116Q1008947,201609,108137.44,1,7,353,4.5,0
F116Q1008947,201612,107841.78,1,10,350,4.5,0
F116Q1008993,201611,103953.27,0,9,111,3.5,0
F116Q1009003,201605,157000.0,1,3,357,4.375,0
F116Q1009003,201606,157000.0,1,4,356,4.375,0
F116Q1009003,201607,157000.0,1,5,355,4.375,0
F116Q1009003,201608,156000.0,1,6,354,4.375,0
F116Q1009003,201609,156215.44,1,7,353,4.375,0
F116Q1009003,201611,155780.98,1,9,351,4.375,0
F116Q1009003,201612,155780.98,1,10,350,4.375,0
F116Q1009034,201612,107753.99,1,10,350,4.375,0
F116Q1009068,201611,372153.0,0,9,351,4.125,0
F116Q1009069,201604,50000.0,1,2,358,5.0,0
F116Q1009076,201603,140000.0,0,1,359,4.0,0
F116Q1009079,201609,140217.52,1,7,173,3.49,0
F116Q1009121,201606,148000.0,0,4,356,4.25,0
F116Q1009136,201605,71000.0,0,3,357,4.375,0
F116Q1009138,201610,237550.66,0,8,352,4.75,0
F116Q1009163,201606,132000.0,0,4,176,3.5,0
F116Q1009189,201605,346000.0,0,3,357,4.125,0
F116Q1009215,201608,374000.0,1,6,174,3.375,0
F116Q1009221,201604,413000.0,0,2,178,3.375,0
F116Q1009334,201604,183000.0,1,2,358,4.125,0
F116Q1009355,201607,414000.0,1,5,355,4.0,0
F116Q1009380,201604,352000.0,0,2,178,3.0,0
F116Q1009425,201610,203354.99,1,8,352,4.625,0
F116Q1009425,201612,202808.34,1,10,350,4.625,0
F116Q1009435,201606,334000.0,0,4,176,3.0,0
F116Q1009454,201612,207658.47,1,10,350,4.375,0
F116Q1009473,201605,416000.0,0,3,357,4.375,0
F116Q1009477,201612,157710.42,1,10,350,4.125,0
F116Q1009516,201608,0.0,1,6,150,3.375,0
F116Q1009540,201611,86118.46,0,9,171,3.5,0
F116Q1009550,201612,119700.74,1,10,170,3.375,0
F116Q1009647,201612,278556.88,0,10,350,4.5,0
F116Q1009650,201611,392627.34,1,9,351,5.0,0
F116Q1009650,201612,392627.34,1,10,350,5.0,0
F116Q1009685,201609,108927.84,0,7,353,4.25,0
F116Q1009744,201605,75000.0,0,3,357,4.125,0
F116Q1009744,201606,75000.0,1,4,356,4.125,0
F116Q1009744,201610,74144.32,1,8,352,4.125,0
F116Q1009825,201609,248274.05,0,7,173,3.375,0
F116Q1009837,201603,147000.0,1,1,358,4.0,0
F116Q1009883,201610,121941.3,0,8,352,4.125,0
F116Q1009885,201611,111142.61,1,9,351,4.5,0
F116Q1009930,201607,238000.0,0,5,355,4.125,0
